epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.911,1.95787,1.96217,1.56329,0.00026,0.07016,0.00014,6e-05,nan,nan,nan,0.000656716,0.000656716,0.000656716
2,100.736,1.94656,1.39837,1.64195,0.41401,0.10387,0.09953,0.03743,2.37387,2.66511,2.10001,0.00131028,0.00131028,0.00131028
3,150.665,1.91916,1.38231,1.65232,0.01439,0.16856,0.00463,0.00195,2.287,416.781,1.89521,0.00195065,0.00195065,0.00195065
4,201.458,1.90426,1.33606,1.62351,0.0108,0.00547,0.0007,0.00025,3.79099,8.56867,8.37484,0.0019406,0.0019406,0.0019406
5,252.585,1.85921,1.29926,1.59954,0.57494,0.56445,0.52679,0.2215,1.91626,25.6398,1.82758,0.0019208,0.0019208,0.0019208
6,302.336,1.80328,1.25164,1.57943,0.74811,0.68064,0.72871,0.31561,1.7719,1.57979,1.68449,0.001901,0.001901,0.001901
7,352.11,1.75693,1.21267,1.52988,0.76434,0.69704,0.73757,0.34548,1.70028,1.23405,1.64742,0.0018812,0.0018812,0.0018812
8,401.852,1.76386,1.21796,1.52419,0.62275,0.44692,0.44664,0.19956,2.00022,1.73696,1.72379,0.0018614,0.0018614,0.0018614
9,451.741,1.75118,1.21826,1.50847,0.68466,0.65604,0.64294,0.28344,1.73447,1.97106,1.63482,0.0018416,0.0018416,0.0018416
10,501.497,1.768,1.19421,1.54936,0.77774,0.73653,0.75458,0.34811,1.65018,1.31796,1.59701,0.0018218,0.0018218,0.0018218
11,551.169,1.73003,1.19838,1.51365,0.78418,0.75945,0.78033,0.38127,1.59229,1.23924,1.55186,0.001802,0.001802,0.001802
12,600.683,1.72042,1.14531,1.51495,0.71207,0.61185,0.60588,0.2681,1.79832,1.70571,1.66117,0.0017822,0.0017822,0.0017822
13,649.602,1.72547,1.19469,1.51936,0.71809,0.72528,0.7215,0.34796,1.60953,1.18587,1.56868,0.0017624,0.0017624,0.0017624
14,698.158,1.64223,1.14177,1.476,0.78665,0.76629,0.81496,0.4061,1.59947,1.11141,1.55761,0.0017426,0.0017426,0.0017426
15,746.963,1.67313,1.11924,1.47382,0.79485,0.7754,0.80975,0.40334,1.54743,1.11239,1.53194,0.0017228,0.0017228,0.0017228
16,795.493,1.6238,1.0827,1.463,0.83873,0.78497,0.84809,0.42257,1.62047,1.03056,1.56546,0.001703,0.001703,0.001703
17,844.173,1.61297,1.1196,1.46629,0.81304,0.75626,0.79922,0.40668,1.52489,1.10246,1.51347,0.0016832,0.0016832,0.0016832
18,892.67,1.59294,1.08334,1.43208,0.79517,0.76583,0.7801,0.40687,1.48344,1.06234,1.49903,0.0016634,0.0016634,0.0016634
19,3184.23,1.59937,1.0953,1.45969,0.76218,0.75809,0.76724,0.38938,1.53401,1.1035,1.51764,0.0016436,0.0016436,0.0016436
20,3233.65,1.59286,1.08309,1.44665,0.83171,0.81412,0.84655,0.40954,1.64261,1.03334,1.564,0.0016238,0.0016238,0.0016238
21,3283.18,1.60403,1.05766,1.43849,0.80582,0.77403,0.81326,0.42197,1.48792,1.05427,1.49098,0.001604,0.001604,0.001604
22,3333.03,1.58148,1.04576,1.43727,0.80701,0.78681,0.82657,0.42228,1.53174,1.03949,1.51068,0.0015842,0.0015842,0.0015842
23,3383.11,1.58874,1.07206,1.43715,0.83118,0.79499,0.83143,0.43347,1.49754,1.01306,1.49845,0.0015644,0.0015644,0.0015644
24,3433,1.57406,1.06538,1.42528,0.78493,0.78815,0.81456,0.42255,1.51015,1.0476,1.49956,0.0015446,0.0015446,0.0015446
25,3482.55,1.5898,1.0472,1.45547,0.8104,0.76856,0.80414,0.41011,1.52384,1.0802,1.51042,0.0015248,0.0015248,0.0015248
